codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm
13,Metropolitana de Santiago,13502,Alhué,7768,2777,3318,3863,3905,1611,1552,1807,1787,1011,2.7973,1.1948,Poniente,2787,531,0,2.3412,50.2703,49.7297,13.0149,20.7389,ALHUE
13,Metropolitana de Santiago,13503,Curacaví,35165,12020,14237,17226,17939,6456,6858,7516,9025,5310,2.9255,1.1844,Poniente,12692,1545,0,2.47,51.0138,48.9862,15.1002,18.3592,CURACAVI
13,Metropolitana de Santiago,13504,María Pinto,15352,5248,5881,7559,7793,2900,2930,3242,3914,2366,2.9253,1.1206,Poniente,5311,570,0,2.6104,50.7621,49.2379,15.4117,18.89,MARIA PINTO
13,Metropolitana de Santiago,13505,San Pedro,11108,3975,5360,5696,5412,2134,2176,2251,2656,1891,2.7945,1.3484,Poniente,4261,1099,0,2.0724,48.7216,51.2784,17.0238,19.2114,SAN PEDRO
13,Metropolitana de Santiago,13601,Talagante,76429,24483,27580,37488,38941,14473,16076,16866,19137,9877,3.1217,1.1265,Poniente,25877,1703,0,2.7712,50.9506,49.0494,12.9231,18.9365,TALAGANTE
13,Metropolitana de Santiago,13602,El Monte,37497,12174,13390,18347,19150,7528,7597,8279,9082,5011,3.0801,1.0999,Poniente,12628,762,0,2.8004,51.0708,48.9292,13.3637,20.0763,EL MONTE
13,Metropolitana de Santiago,13603,Isla De Maipo,39274,13043,14572,19401,19873,7507,8001,8722,9892,5152,3.0111,1.1172,Poniente,13424,1148,0,2.6952,50.6009,49.3991,13.1181,19.1144,ISLA DE MAIPO
13,Metropolitana de Santiago,13604,Padre Hurtado,81243,26172,28814,39781,41462,17481,16286,21905,17792,7779,3.1042,1.1009,Poniente,27455,1359,0,2.8196,51.0346,48.9654,9.575,21.5169,PADRE HURTADO
13,Metropolitana de Santiago,13605,Penaflor,94402,30805,33115,45612,48790,17745,20209,20273,24127,12048,3.0645,1.075,Poniente,31372,1743,0,2.8507,51.6832,48.3168,12.7624,18.7973,PENAFLOR
1,Tarapacá,1401,Pozo Almonte,16878,5675,11659,8667,8211,4053,3992,3824,3300,1709,2.9741,2.0544,,5506,6153,0,1.4476,48.6491,51.3509,10.1256,24.0135,POZO ALMONTE
1,Tarapacá,1402,Camina,1335,489,1178,648,687,0,0,0,0,0,2.7301,2.409,,482,696,0,1.1333,51.4607,48.5393,0.0,0.0,CAMINA
1,Tarapacá,1403,Colchane,790,353,2218,389,401,0,0,0,0,0,2.238,6.2833,,263,1955,0,0.3562,50.7595,49.2405,0.0,0.0,COLCHANE
1,Tarapacá,1404,Huara,2858,1039,3215,1484,1374,0,0,0,0,0,2.7507,3.0943,,1118,2097,0,0.889,48.0756,51.9244,0.0,0.0,HUARA
1,Tarapacá,1405,Pica,6272,2184,3200,3093,3179,1493,1368,1313,1223,875,2.8718,1.4652,,2209,991,0,1.96,50.6856,49.3144,13.9509,23.8042,PICA
14,Los Ríos,14101,Valdivia,170043,63322,73106,81660,88383,27477,38973,38335,41086,24172,2.6854,1.1545,,64269,8837,0,2.326,51.9769,48.0231,14.2152,16.1589,VALDIVIA
14,Los Ríos,14102,Corral,5501,2133,3360,2746,2755,0,0,0,0,0,2.579,1.5752,,2343,1017,0,1.6372,50.0818,49.9182,0.0,0.0,CORRAL
14,Los Ríos,14103,Lanco,16876,6435,7784,8133,8743,3060,3377,3312,4404,2723,2.6225,1.2096,,7044,740,0,2.168,51.8073,48.1927,16.1353,18.1323,LANCO
14,Los Ríos,14104,Los Lagos,21431,7910,9574,10596,10835,3900,4147,4392,5624,3368,2.7094,1.2104,,8120,1454,0,2.2385,50.5576,49.4424,15.7156,18.1979,LOS LAGOS
14,Los Ríos,14105,Mafil,8074,2954,3441,3947,4127,1441,1559,1708,2047,1319,2.7332,1.1649,,2994,447,0,2.3464,51.1147,48.8853,16.3364,17.8474,MAFIL
14,Los Ríos,14106,Mariquina,22973,8230,10274,11180,11793,4578,4834,4625,5650,3286,2.7914,1.2484,,8757,1517,0,2.236,51.3342,48.6658,14.3037,19.9277,MARIQUINA
14,Los Ríos,14107,Paillaco,19802,7304,8447,9535,10267,3481,3836,3801,5234,3450,2.7111,1.1565,,7573,874,0,2.3443,51.8483,48.1517,17.4225,17.579,PAILLACO
14,Los Ríos,14108,Panguipulli,35098,13326,20024,17044,18054,6532,6379,7417,9293,5477,2.6338,1.5026,,14651,5373,0,1.7528,51.4388,48.5612,15.6049,18.6107,PANGUIPULLI
