codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm
13,Metropolitana de Santiago,13401,San Bernardo,306371,99053,102678,148696,157675,60805,69351,69173,72358,34684,3.093,1.0366,Sur,99287,3391,0,2.9838,51.4654,48.5346,11.3209,19.8469,SAN BERNARDO
13,Metropolitana de Santiago,13402,Buin,116969,37708,42526,56564,60405,24919,22976,31015,25932,12127,3.102,1.1278,Sur,39777,2749,0,2.7505,51.6419,48.3581,10.3677,21.3039,BUIN
13,Metropolitana de Santiago,13403,Calera De Tango,25491,7859,8406,12607,12884,4593,5386,5264,6813,3435,3.2435,1.0696,Sur,8140,266,0,3.0325,50.5433,49.4567,13.4753,18.0181,CALERA DE TANGO
13,Metropolitana de Santiago,13404,Paine,78828,25952,30877,38873,39955,15339,16631,17464,19316,10078,3.0375,1.1898,Sur,27634,3243,0,2.553,50.6863,49.3137,12.7848,19.4588,PAINE
13,Metropolitana de Santiago,13501,Melipilla,136325,46619,52376,66759,69566,26419,28414,30095,32086,19311,2.9242,1.1235,Poniente,47598,4778,0,2.6028,51.0295,48.9705,14.1654,19.3794,MELIPILLA
13,Metropolitana de Santiago,13502,Alhué,7768,2777,3318,3863,3905,1611,1552,1807,1787,1011,2.7973,1.1948,Poniente,2787,531,0,2.3412,50.2703,49.7297,13.0149,20.7389,ALHUE
13,Metropolitana de Santiago,13503,Curacaví,35165,12020,14237,17226,17939,6456,6858,7516,9025,5310,2.9255,1.1844,Poniente,12692,1545,0,2.47,51.0138,48.9862,15.1002,18.3592,CURACAVI
13,Metropolitana de Santiago,13504,María Pinto,15352,5248,5881,7559,7793,2900,2930,3242,3914,2366,2.9253,1.1206,Poniente,5311,570,0,2.6104,50.7621,49.2379,15.4117,18.89,MARIA PINTO
13,Metropolitana de Santiago,13505,San Pedro,11108,3975,5360,5696,5412,2134,2176,2251,2656,1891,2.7945,1.3484,Poniente,4261,1099,0,2.0724,48.7216,51.2784,17.0238,19.2114,SAN PEDRO
13,Metropolitana de Santiago,13601,Talagante,76429,24483,27580,37488,38941,14473,16076,16866,19137,9877,3.1217,1.1265,Poniente,25877,1703,0,2.7712,50.9506,49.0494,12.9231,18.9365,TALAGANTE
13,Metropolitana de Santiago,13602,El Monte,37497,12174,13390,18347,19150,7528,7597,8279,9082,5011,3.0801,1.0999,Poniente,12628,762,0,2.8004,51.0708,48.9292,13.3637,20.0763,EL MONTE
13,Metropolitana de Santiago,13603,Isla De Maipo,39274,13043,14572,19401,19873,7507,8001,8722,9892,5152,3.0111,1.1172,Poniente,13424,1148,0,2.6952,50.6009,49.3991,13.1181,19.1144,ISLA DE MAIPO
13,Metropolitana de Santiago,13604,Padre Hurtado,81243,26172,28814,39781,41462,17481,16286,21905,17792,7779,3.1042,1.1009,Poniente,27455,1359,0,2.8196,51.0346,48.9654,9.575,21.5169,PADRE HURTADO
13,Metropolitana de Santiago,13605,Penaflor,94402,30805,33115,45612,48790,17745,20209,20273,24127,12048,3.0645,1.075,Poniente,31372,1743,0,2.8507,51.6832,48.3168,12.7624,18.7973,PENAFLOR
